dataset,model,dim,exp,acc
adult,Glove,200,2,0.8392628615305862
adult,w2v,200,2,0.8387509598157153
adult,Glove,200,2,0.8390069106731508
adult,w2v,200,2,0.8441259278218582
adult,Glove,200,2,0.831584335807525
adult,w2v,200,2,0.8525723061172255
adult,Glove,200,2,0.8497568466854364
adult,w2v,200,2,0.8392628615305862
adult,Glove,200,2,0.8454056821090351
adult,w2v,200,2,0.8349116969541848
adult,Glove,200,2,0.8431021243921167
adult,w2v,200,3,0.8497952917093142
adult,Glove,200,3,0.8359774820880246
adult,w2v,200,3,0.8538894575230297
adult,Glove,200,3,0.8444216990788127
adult,w2v,200,3,0.8533776867963152
adult,Glove,200,3,0.853121801432958
adult,w2v,200,3,0.8423342718198106
adult,Glove,200,3,0.8387509598157153
adult,w2v,200,3,0.8359355003839263
adult,Glove,200,3,0.8341438443818787
adult,w2v,200,3,0.8433580752495521
adult,Glove,200,3,0.8451497312515996
adult,w2v,200,3,0.8420783209623752
adult,Glove,200,3,0.8303045815203481
adult,w2v,200,3,0.8356795495264909
adult,Glove,200,3,0.8392628615305862
adult,w2v,200,3,0.8423342718198106
adult,Glove,200,3,0.8410545175326337
adult,w2v,200,3,0.8505246992577425
adult,Glove,200,3,0.8407985666751984
adult,w2v,200,4,0.8446775844421699
adult,Glove,200,4,0.8474923234390993
adult,w2v,200,4,0.8426305015353122
adult,Glove,200,4,0.8413510747185261
adult,w2v,200,4,0.8451893551688844
adult,Glove,200,4,0.8433981576253838
adult,w2v,200,4,0.8530842078320963
adult,Glove,200,4,0.8512925518300486
adult,w2v,200,4,0.8543639621192731
adult,Glove,200,4,0.8461735346813412
adult,w2v,200,4,0.8451497312515996
adult,Glove,200,4,0.8438699769644228
adult,w2v,200,4,0.8433580752495521
adult,Glove,200,4,0.8326081392372664
adult,w2v,200,4,0.8431021243921167
adult,Glove,200,4,0.8492449449705657
adult,w2v,200,4,0.8382390581008446
adult,Glove,200,4,0.8313283849500895
adult,w2v,200,4,0.8479651906833888
adult,Glove,200,4,0.8425902226772459
adult,w2v,200,5,0.8418628454452405
adult,Glove,200,5,0.8474923234390993
adult,w2v,200,5,0.8308597748208802
adult,Glove,200,5,0.834186284544524
adult,w2v,200,5,0.8523541453428863
adult,Glove,200,5,0.8283009211873081
adult,w2v,200,5,0.8387509598157153
adult,Glove,200,5,0.8374712055285385
adult,w2v,200,5,0.8423342718198106
adult,Glove,200,5,0.8400307141028922
adult,w2v,200,5,0.8469413872536473
adult,Glove,200,5,0.8461735346813412
adult,w2v,200,5,0.8469413872536473
adult,Glove,200,5,0.847453288968518
adult,w2v,200,5,0.8571794215510622
adult,Glove,200,5,0.8431021243921167
adult,w2v,200,5,0.8502687484003072
adult,Glove,200,5,0.844637829536729
adult,w2v,200,5,0.8541080112618378
adult,Glove,200,5,0.8479651906833888
adult,w2v,200,6,0.8449334698055271
adult,Glove,200,6,0.8413510747185261
adult,w2v,200,6,0.834186284544524
adult,Glove,200,6,0.8280450358239508
adult,w2v,200,6,0.8477482088024565
adult,Glove,200,6,0.8444216990788127
adult,w2v,200,6,0.8477092398259534
adult,Glove,200,6,0.8351676478116201
adult,w2v,200,6,0.8400307141028922
adult,Glove,200,6,0.8402866649603277
adult,w2v,200,6,0.8510366009726132
adult,Glove,200,6,0.8451497312515996
adult,w2v,200,6,0.8451497312515996
adult,Glove,200,6,0.8438699769644228
adult,w2v,200,6,0.8433580752495521
adult,Glove,200,6,0.8395188123880215
adult,w2v,200,6,0.8438699769644228
adult,Glove,200,6,0.8489889941131302
adult,w2v,200,6,0.8438699769644228
adult,Glove,200,6,0.8402866649603277
adult,w2v,200,7,0.8533776867963152
adult,Glove,200,7,0.8485158648925282
